Country Name,Country Code,Access to electricity (% of population),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),"Air transport, passengers carried",Compensation of employees (current LCU),"Contraceptive prevalence, any method (% of married women ages 15-49)",Control of Corruption: Estimate,Cost of business start-up procedures (% of GNI per capita),"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Forest area (% of land area),Gini index,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)",Human capital index (HCI) (scale 0-1),"Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Logistics performance index: Overall (1=low to 5=high),Losses due to theft and vandalism (% of annual sales for affected firms),"Maternal mortality ratio (national estimate, per 100,000 live births)",Mobile cellular subscriptions (per 100 people),Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)","Physicians (per 1,000 people)",Political Stability and Absence of Violence/Terrorism: Estimate,Population living in slums (% of urban population),Pregnant women receiving prenatal care (%),Prevalence of moderate or severe food insecurity in the population (%),Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Profit tax (% of commercial profits),Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of seats held by women in national parliaments (%),"Pupil-teacher ratio, primary",Rail lines (total route-km),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Suicide mortality rate (per 100,000 population)","Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)",Total greenhouse gas emissions (kt of CO2 equivalent),Total tax and contribution rate (% of profit),"Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Australia,AUS,100.0,39.509215260000005,75667645.03,49984000000.0,56.221428571428575,1.767377615,0.7,94.029806135,10.05971909,17.42131456,34.3,1.556063771,6.273333333333333,0.78083396,95.0,95.0,94.0,90.0,1.911400944,0.884735038,969666.6666666665,5.260833333,82.74878049,76.79513784538462,3.75,,,110.6519296,2.2,220307.0,16.24427223,98.50525156666667,3.747,0.970811963,21.00004857142857,84.22142857142858,13.3,3.8,2.5,98.58167775999999,26.0,4.56,28.66666667,15.424205,3536.1333333333337,56934.0,1.896577239,0.1,1.67455554,9.419,88.36416667,12.4,93.234961,88.827328,642275.8577,47.4,5.3,1.393920898,78.93076923076923,68.07857142857142
Austria,AUT,100.0,41.0771217,12935505.0,16230830000.0,57.35714285714286,1.568366051,4.8,92.89285278,10.35,47.16396025,30.8,1.456104994,7.27,0.768673122,85.0,85.0,94.0,87.4791,1.998379814,0.972794281,806833.3333333333,11.354583331499999,81.69268293,76.21855046230769,4.03,,,124.2461975,0.6,35404.0,18.43,99.77378845,5.241,0.884671748,27.302712857142858,83.75714285714287,3.6,1.1,2.5,97.75398254,17.1,4.436,34.42622951,15.4270125,4955.0,128779.0,1.524036407,0.0,1.853449583,10.422,89.505,15.7,92.823711,87.028248,75582.15688,51.5,4.933,1.39915669,80.82307692307693,66.34285714285714
Azerbaijan,AZE,100.0,42.64502814,2279546.0,2765600000.0,58.49285714285714,-0.852769494,1.3,98.65656281,3.84,13.41393036,29.866666666666667,-0.145044252,3.9,0.629312158,95.0,95.0,96.0,79.8,2.268546904,1.940404657,644000.0,17.44833333,72.76,75.64196307923076,3.2800000000000002,,,101.8436601,1.2166666666666666,1583.0,73.39,95.7502594,3.2,-0.711426675,33.605377142857144,83.29285714285714,9.6,0.0,2.5,100.2199478,13.8,4.311999999999999,16.8,15.42982,2133.07,1130.0,-0.314388335,19.475,-0.619775176,9.718833333333334,68.15625,4.0,84.487136,72.377426,53176.47097,41.2,4.9,-1.508211613,82.71538461538461,64.60714285714286
"Bahamas, The",BHS,100.0,44.21293458,1830394.862,728646000.0,59.628571428571426,1.095535636,11.4,97.97227732666667,5.98263836,50.93506494,28.933333333333334,0.500147343,2.72,0.6466054619999999,90.0,90.0,89.0,83.0,2.265863467,22.64208218,571333.3333333334,4.25,73.806,75.06537569615385,2.53,,,96.71589874,1.833333333333333,1001.0,27.65998459,96.26377486999999,2.3243333333333336,0.847560644,39.90804142857143,82.82857142857144,16.9,3.533333333333333,5.9,99.564449305,0.0,4.188,12.82051282,19.44891,2381.0466666666666,14.0,0.167803615,38.95,0.069533847,9.015666666666668,52.59583333,3.5,81.654911,68.749512,3123.026611,31.5,10.0,0.774486244,84.6076923076923,62.87142857142857
Bahrain,BHR,100.0,45.780841020000004,5877003.0,1447154802.0,60.76428571428571,-0.176231503,1.1,97.28799184333333,4.12745667,0.848329049,28.0,0.119554743,1.8,0.663898766,99.0,99.0,99.0,98.6447,2.08766938,0.336170726,498666.6666666666,6.9504166665,79.857,74.48878831307692,2.93,,,140.7017898,2.4499999999999997,-3601.0,30.00357628,96.77729034,1.4486666666666668,-0.846307814,46.210705714285716,82.36428571428571,24.2,7.066666666666666,9.3,98.90895081,0.0,4.064,15.0,11.92315,2629.0233333333335,262.0,0.405416608,58.425000000000004,0.383981407,8.3125,52.8175,8.6,91.216093,89.03996,51257.81097,13.8,9.440666666666667,-1.41806531,86.5,61.135714285714286
Bangladesh,BGD,86.9,47.34874746,5677396.0,514023000000.0,61.9,-0.926946819,21.2,96.60370635999999,2.31622243,14.46877161,27.066666666666666,-0.762530446,0.88,0.458553284,98.0,98.0,97.0,25.6,5.543621395,2.339874993,426000.0,9.650833333,72.567,73.91220093,2.58,,,98.83168698,3.0666666666666664,-323380.0,70.67902374,97.26780954666667,0.573,-0.985568643,52.51337,81.9,31.5,10.6,12.7,92.815864565,31.1,3.94,20.28571429,30.05459,2877.0,906640.0,-0.849186778,77.9,-0.649730861,7.609333333333334,59.02083333,3.6,82.063404,74.908517,214432.3367,33.4,8.881333333333332,-0.742027104,63.8,59.4
Barbados,BRB,100.0,48.9166539,4218782.0,259501985189.0,63.5,1.371912479,7.3,95.91942087666666,6.45336485,14.65116279,26.133333333333333,0.385415733,6.06,0.5599554376666667,95.0,95.0,85.0,72.4,3.673814104,10.01113739,341500.0,8.05,77.067,75.66813729272727,2.575,,,117.7476331,3.683333333333333,-65.0,45.89333344,97.75832875333333,2.4795,0.900504649,28.158855000000003,82.16000000000001,32.55,9.475,2.5,86.72277832,19.9,3.816,20.0,13.9917,4168.0,454432.5,0.531776667,39.300000000000004,0.363926589,6.9061666666666675,67.23895833,0.6,87.422863,81.149229,3796.373576,35.3,8.322,1.102098107,56.08,54.78
Belarus,BLR,99.3,50.48456034,2760168.0,4980970378.0,65.1,-0.154802009,0.5,95.23513539333334,5.53,43.05153217,25.2,-0.297697932,9.71,0.6613575913333334,97.0,98.0,98.0,79.1299,4.872302206,2.330960618,257000.0,8.695833333,74.17560976,77.42407365545455,2.57,2.0,,119.8449004,4.3,15731.0,25.45,98.24884796,4.386,0.353457749,3.80434,82.42,33.6,8.35,2.5,96.7565918,11.1,3.692,34.54545455,19.23259,5459.0,2225.0,-0.815192759,0.7,-0.892303824,6.203,75.45708333,22.8,88.17545,67.273839,91880.30552,53.3,4.763,-1.363152385,48.36,50.16
Belgium,BEL,100.0,41.15164829333334,13639487.0,9726000000.0,66.7,1.429420352,5.4,94.55084991,10.86148262,22.76420079,27.2,1.224721551,5.61,0.762759745,98.0,97.0,96.0,88.6473,2.053164999,19.879524479,172500.0,8.905416666499999,81.59512195,79.18001001818182,4.04,2.357142857142857,,99.9891253,0.7,55439.0,18.50161743,76.80454508333334,3.124,0.393630445,9.766835,82.68,34.650000000000006,7.225,2.5,100.61553574999999,10.9,3.5679999999999996,38.0,19.507955,3607.0,42158.0,1.259039402,0.0,1.33861649,9.801,82.1875,18.7,91.672636,86.81902,108952.4335,57.7,5.941,1.330212235,40.64,45.54
Belize,BLZ,91.7,31.818736246666667,1297533.223,9902992612.25,41.1,-0.169436514,34.7,93.65789642,4.74657917,56.96492766,32.55,-0.627337217,1.03,0.5798550395,96.0,96.0,97.0,49.8,0.269982623,37.42808834,88000.0,9.115,73.703,80.93594638090909,3.395,2.7142857142857144,,64.46818089,26.999999999999996,1185.0,23.39842224,55.36024220666667,1.081,-0.002222205,15.72933,82.94,35.7,6.1,5.3,104.4744797,24.7,3.444,9.375,19.78332,3175.509,29.0,-0.666695118,27.8,-0.842277706,11.14775,58.50291667,6.5,83.313043,70.370146,1427.523569,31.1,5.29325,0.431013256,32.92,40.92
Benin,BEN,39.0,22.4858242,956971.8153333333,10079985224.5,15.5,-0.391388416,3.6,92.76494293,2.88632059,28.69058177,37.9,-0.631400347,0.46,0.396950334,76.0,76.0,68.0,19.0,0.919170718,25.34570982866667,3500.0,6.763333333,60.14,82.69188274363636,2.75,3.071428571428571,,79.24062635,53.3,3368.0,45.57242584,33.91593933,0.076,-0.147074759,68.3262,83.2,65.6,14.2,10.4,97.84465282666667,11.9,3.32,7.228915663,39.19712,2744.018,1167.0,-0.39342612,64.0,-0.691577911,12.4945,50.12958333,7.9,60.534504,55.830973,15267.36586,48.9,4.6455,0.248301506,25.2,36.3
Bermuda,BMU,100.0,18.586230153333332,616410.4076666667,10256977836.75,18.858333333333334,1.179165602,3.55,91.87198944,3.064546345,18.51851852,39.46666666666667,1.327054977,1.09,0.4525290055,86.5,86.5,82.5,41.25,1.82156729,13.263331317333336,27375.0,10.3816666665,80.825,84.44781910636364,2.46,3.428571428571429,,85.77945848,38.4,306.0,29.368115425,55.26272074333333,0.248,1.133034587,52.24465,82.9,51.5,11.024999999999999,11.533333333333333,91.21482595333333,22.9,2.2733333333333334,11.061266341500001,36.932900000000004,2312.527,1045.3333333333333,0.813936293,57.4,0.816888571,13.84125,51.1875,6.25,92.664782,84.436174,8670.764606,42.099999999999994,3.99775,0.14534777599999998,25.885714285714286,37.04285714285714
Bhutan,BTN,100.0,14.686636106666665,275849.0,10433970449.0,22.216666666666665,1.590518117,3.5,90.97903595,3.2427721,71.34556896,41.03333333333333,0.283261538,1.72,0.508107677,97.0,97.0,97.0,63.5,2.723963862,1.180952806,51250.0,14.0,71.129,86.20375546909091,2.17,3.7857142857142856,,92.31829061,23.5,291.0,13.16380501,76.60950215666666,0.42,1.077452898,36.1631,82.60000000000001,37.4,7.85,12.666666666666668,84.58499908,33.9,1.2266666666666666,14.89361702,34.66868,1881.036,923.6666666666666,-0.376959831,50.800000000000004,0.548555255,15.188,52.24541667,4.6,79.667994,72.890809,2074.163352,35.3,3.35,0.042394046,26.57142857142857,37.785714285714285
Bolivia,BOL,92.8,10.78704206,4122113.0,6660397420.0,25.575,-0.68817246,39.2,90.08608246,6.60399437,47.31213884,42.6,-0.329635829,1.25,0.5636863485000001,83.0,83.0,89.0,44.2861,2.272059872,4.94533211,75125.0,8.037242527,67.748,87.95969183181818,2.36,4.142857142857142,,98.61224848,8.6,-9345.0,22.10827065,97.95628357,0.39599999999999996,-0.28669095,20.08155,82.3,23.299999999999997,4.675000000000001,13.8,94.17327881,0.0,0.18,53.07692308,17.79827,1449.545,802.0,-1.007106662,44.2,-1.211845517,10.834,62.0725,6.3,75.3157,63.624849,56831.15371,83.7,3.519,-0.059398498,27.257142857142856,38.528571428571425
Bosnia and Herzegovina,BIH,100.0,21.125769096666666,2187765.0,2886824391.0,28.93333333333333,-0.605827153,14.9,92.36840566,8.76,42.73261719,46.36666666666667,-0.670606136,2.38,0.61926502,73.0,80.0,68.0,70.1201,2.7550377305,1.147015304,99000.0,3.790281369,77.093,89.71562819454545,2.81,4.5,,101.7919614,7.733333333333333,-29154.0,29.31,93.96211243,0.372,-0.400912255,4.0,82.0,9.2,1.5,2.5,88.45281982,8.4,0.15,21.42857143,16.92651,1018.054,5227.0,-0.14139466,3.6,-0.225131854,22.605,61.23,10.8,90.221683,82.391557,27771.20464,23.7,18.4,-0.25929305,27.942857142857143,39.27142857142857
Botswana,BWA,68.3,31.464496133333334,253417.0,22085070000.0,32.291666666666664,0.719505966,0.6,94.65072886,6.04010344,27.3345332,50.13333333333333,0.254732549,2.35,0.412516505,95.0,95.0,97.0,58.0,3.238015589,13.891513937,90333.33333333333,6.5,65.422,91.47156455727273,2.9000000000000004,4.857142857142858,158.0,137.9300386,6.866666666666666,3819.0,5.10579157,93.78540993,0.348,0.958273768,39.58877,81.7,53.1,23.1,26.4,83.34778086,21.5,0.12,9.523809524,15.168685,886.0,2044.0,0.62392962,37.7,0.383702308,23.605,56.48041667,17.4,66.825838,57.896638,13322.30266,25.1,15.364999999999998,0.46232906,28.628571428571426,40.01428571428571
Brazil,BRA,99.7,41.80322317,102109977.0,290565000000.0,35.65,-0.480606288,4.7,96.93305206,9.46475029,59.70842795,53.9,-0.520446002,2.26,0.545723736,87.0,87.0,92.0,70.4343,3.664850284,26.63601257,81666.66666666667,39.08333333,75.109,93.22750092,2.99,5.214285714285714,59.0,99.64002652,6.0,67934.0,24.82529449,93.60870743000001,1.303,-0.459640145,38.094291999999996,81.4,20.6,1.6,2.5,78.2427419,22.4,0.09,15.00974659,13.41086,1672.0,11304.0,-0.293125451,19.0,-0.302387714,24.605,75.45,7.0,87.025483,75.231526,1054181.831,65.1,12.33,0.37796551,29.314285714285713,40.75714285714285
British Virgin Islands,VGB,100.0,35.53511498,51672216.0,195887118000.0,39.008333333333326,0.14044062799999996,2.95,96.35505421666666,5.93882203,24.13333333,49.699999999999996,0.3463701309999999,2.855,0.58724157,93.0,93.0,95.5,82.71715,2.3449510385,18.188208817333333,73000.0,22.291666665,75.831,95.220806125,2.85,5.571428571428571,57.25,131.7092467,4.5,221.0,14.841823100000001,93.43200493,2.258,0.3880867365,36.599813999999995,81.10000000000001,17.900000000000002,1.7,2.6,73.13770294,11.25,0.06,12.0503278405,11.653035000000001,2458.0,14171.333333333334,0.191809982,15.233333333333333,0.148192853,22.6605,77.85611111,5.05,89.041172,79.862864,532017.3946400001,36.55,10.515,-0.2398748395,30.0,41.5
Brunei Darussalam,BRN,100.0,29.267006790000003,1234455.0,101209236000.0,42.36666666666666,0.761487544,1.2,95.77705637333334,2.41289377,72.10626186,45.5,1.213186264,3.45,0.6287594040000001,99.0,99.0,99.0,95.0,1.025051793,9.740405064666664,64333.333333333336,5.5,74.712,97.21411133,2.71,5.928571428571429,55.5,130.3207192,3.0,-638.0,4.85835171,93.25530243,3.213,1.235813618,35.105335999999994,80.8,15.2,1.8,2.6999999999999997,102.3259964,0.1,0.03,9.090909091,9.89521,3244.0,17038.666666666668,0.676745415,11.466666666666665,0.59877342,20.716,80.26222222,3.1,84.255029,77.034449,9852.95828,8.0,8.7,-0.857715189,30.685714285714283,42.24285714285714
Bulgaria,BGR,98.7,22.9988986,1022645.0,6531354000.0,45.724999999999994,-0.188040331,1.1,95.19905853,7.33,35.62085483,41.3,0.112081617,7.47,0.670277238,92.0,85.0,93.0,64.782,2.814544738,1.292601312,55666.66666666667,4.963225,74.96341463,68.279981615,3.03,6.285714285714286,53.75,117.8397093,1.5,-12115.0,40.52,95.83818817,4.168,0.444267064,33.610858,80.5,12.5,1.9,2.8,94.27816772,4.9,0.0,23.75,24.80847,4030.0,19906.0,0.605752707,7.7,-0.105625674,13.844,82.66833333,9.7,86.190437,71.68673,53370.25718,27.7,5.211,0.365130007,31.37142857142857,42.98571428571429
Burkina Faso,BFA,14.4,16.73079041,189545.3369,704542000000.0,49.08333333333333,-0.131240994,43.3,94.55223719,5.0057807,23.08625731,43.0,-0.64393878,5.636666666666667,0.378283978,91.0,91.0,88.0,8.5,1.955943027,2.6707864133333334,47000.0,6.763333333,60.047,39.3458519,2.62,6.642857142857143,52.0,94.83338248,60.5,-23971.0,35.83074951,55.91910934,0.083,-1.060256481,32.11638,80.2,42.8,12.6,14.0,62.8463707,16.2,2.22,11.02362205,39.72173,518.0,25120.0,-0.40524897,84.3,-0.458880723,41.005,53.68,7.6,62.626894,54.246291,30655.18984,41.3,4.695,-0.061017469,32.05714285714286,43.72857142857143
Burundi,BDI,9.5,17.9419130325,375744.66845,361986501852.0,52.44166666666666,-1.478066683,10.7,93.90541585,7.29396152,10.8894081,40.9,-1.449707508,3.8033333333333332,0.389574796,90.0,90.0,88.0,4.0,-2.814698077,4.048971514666667,32000.0,14.78916667,61.688,48.7771482475,2.06,7.0,50.25,54.97002994,62.85,68145.0,27.11566162,42.9858017,0.094,-1.570218563,39.50542,89.5,39.599999999999994,10.6,16.9,57.22309113,28.5,2.2775000000000003,36.36363636,42.52383,609.5,71501.0,-1.009911776,100.0,-1.513906837,35.6275,54.49416667,6.3,62.860168,55.409225,4518.56764,41.2,8.432500000000001,-1.669483781,32.74285714285714,44.471428571428575
Cabo Verde,CPV,90.2,19.153035655,561944.0,19431003704.0,55.8,0.75564152,14.4,93.25859451,4.73804712,11.19602978,38.8,0.340959072,1.97,0.4401298315,98.0,99.0,99.0,59.5,1.256995667,5.427156616,244000.0,8.97292567,75.733,58.208444595,2.3200000000000003,7.357142857142858,48.5,106.8497659,65.2,-1323.0,26.11138153,61.373149874999996,0.791,0.833078504,39.60271,98.8,36.4,8.6,19.8,81.75383759,18.5,2.335,23.61111111,21.07361,701.0,174443.0,-0.036307488,18.8,0.39301616,30.25,54.55625,13.4,88.598303,73.607101,754.609844,37.0,12.17,0.975099623,33.42857142857143,45.214285714285715
Cambodia,KHM,80.7,20.3641582775,1411059.0,6994460000000.0,37.55,-1.356795192,47.4,92.61177317,6.06630135,47.47195785,36.7,-0.600180507,0.74,0.490684867,89.0,89.0,87.0,44.6,2.459085154,4.213933095000001,456000.0,8.3735623675,70.561,67.6397409425,2.58,7.714285714285714,46.75,121.1658947,67.55,-51685.0,60.96880341,79.76049805,0.4605,0.110811263,39.7,92.9,44.1,13.6,4.8,85.03299713,19.4,2.3925,20.0,41.7035,792.5,277385.0,-0.536904514,34.75,-1.134575367,24.237,56.51,4.9,78.619083,69.974848,37519.1081,21.7,10.059,-1.232750416,34.114285714285714,45.957142857142856
