Country Name,Country Code,Series Name,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Argentina,ARG,"Intentional homicides (per 100,000 people)",5.367725685,5.155823421,5.366813844,4.622678556,..
Argentina,ARG,"Internally displaced persons, total displaced by conflict and violence (number of people)",..,..,..,..,..
Argentina,ARG,Lending interest rate (%),48.51666667,67.25416667,29.3875,35.55833333,52.39916667
Argentina,ARG,"Life expectancy at birth, total (years)",76.999,77.284,75.892,75.39,76.064
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",..,..,..,..,..
Argentina,ARG,Logistics performance index: Overall (1=low to 5=high),2.89,..,..,..,2.8
Argentina,ARG,Losses due to theft and vandalism (% of annual sales for affected firms),..,..,..,..,..
Argentina,ARG,"Maternal mortality ratio (national estimate, per 100,000 live births)",..,..,..,..,..
Argentina,ARG,Mobile cellular subscriptions (per 100 people),131.9371685,125.9409814,121.6001889,130.4550081,132.3578095
Argentina,ARG,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",..,11.4,..,..,..
Argentina,ARG,Multidimensional poverty headcount ratio (World Bank) (% of population),1.1,1.1,1.2,0.9,0.6
Argentina,ARG,Net migration,4690,4478,2344,2344,3886
Argentina,ARG,Out-of-pocket expenditure (% of current health expenditure),25.13258934,23.94149971,21.75679016,22.36627579,..
Argentina,ARG,"Persistence to last grade of primary, total (% of cohort)",93.86569977,94.41851807,96.51191711,..,..
Argentina,ARG,"Physicians (per 1,000 people)",..,4.0685,3.895,..,..
Argentina,ARG,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",..,..,..,..,..
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Estimate,0.006809914,-0.097864307,-0.072026245,0.000468279,-0.009163282
Argentina,ARG,Population living in slums (% of urban population),..,..,..,..,..
Argentina,ARG,Pregnant women receiving prenatal care (%),..,..,95,..,..
Argentina,ARG,Prevalence of moderate or severe food insecurity in the population (%),35.8,35.8,37,36.9,..
Argentina,ARG,Prevalence of severe food insecurity in the population (%),12.9,12.6,13,13.1,..
Argentina,ARG,Prevalence of undernourishment (% of population),3.4,3.4,3.3,3.2,..
Argentina,ARG,"Primary completion rate, total (% of relevant age group)",100.2818069,100.3828964,103.8377914,105.4795303,..
Argentina,ARG,Profit tax (% of commercial profits),3.9,3.6,..,..,..
Argentina,ARG,Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),..,..,..,..,..
Argentina,ARG,Proportion of seats held by women in national parliaments (%),38.91050584,40.15748031,40.85603113,44.74708171,44.74708171
Argentina,ARG,"Pupil-teacher ratio, primary",..,..,..,..,..
Argentina,ARG,Rail lines (total route-km),17866,17866,..,..,..
Argentina,ARG,Refugee population by country or territory of asylum,3442,3857,3965,4050,4094
Argentina,ARG,Regulatory Quality: Estimate,-0.195977628,-0.4530797,-0.498344272,-0.631172717,-0.697565734
Argentina,ARG,Risk of impoverishing expenditure for surgical care (% of people at risk),6.8,8.8,9.9,8.6,7.7
Argentina,ARG,Rule of Law: Estimate,-0.219662562,-0.427303702,-0.487334788,-0.476669818,-0.480682313
Argentina,ARG,"Share of youth not in education, employment or training, total (% of youth population)",19.023,19.228,22.328,16.118,15.872
Argentina,ARG,Statistical performance indicators (SPI): Overall score (scale 0-100),65.27291667,64.59583333,65.2775,71.56791667,71.77291667
Argentina,ARG,"Suicide mortality rate (per 100,000 population)",9.2,8.4,..,..,..
Argentina,ARG,"Survival to age 65, female (% of cohort)",87.744382,88.20058,85.499563,85.105289,86.051875
Argentina,ARG,"Survival to age 65, male (% of cohort)",77.969309,78.412194,76.217396,76.225132,77.204765
Argentina,ARG,Total greenhouse gas emissions (kt of CO2 equivalent),378187.3624,374523.504,361433.0173,..,..
Argentina,ARG,Total tax and contribution rate (% of profit),106,106.3,..,..,..
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",9.221,9.843,11.461,8.736,6.805
Argentina,ARG,Voice and Accountability: Estimate,0.539418399,0.571178675,0.585294366,0.611695528,0.543526769
Argentina,ARG,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)",..,..,..,..,..
Argentina,ARG,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",..,..,..,..,..
Australia,AUS,Access to electricity (% of population),100,100,100,100,100
Australia,AUS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),..,..,..,99.32,..
Australia,AUS,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),..,..,..,..,..
Australia,AUS,"Air transport, passengers carried",75667645.03,76850596.72,23346254,24572955,..
Australia,AUS,Compensation of employees (current LCU),49984000000,53658000000,59698000000,60087000000,61199000000
Australia,AUS,"Contraceptive prevalence, any method (% of married women ages 15-49)",..,..,..,..,..
Australia,AUS,Control of Corruption: Estimate,1.767377615,1.788173079,1.632955909,1.707646132,1.764489532
Australia,AUS,Cost of business start-up procedures (% of GNI per capita),0.7,0.7,..,..,..
Australia,AUS,"Current education expenditure, total (% of total expenditure in public institutions)",..,..,..,..,..
Australia,AUS,Current health expenditure (% of GDP),10.05971909,10.21965981,10.6837368,10.54363918,..
Australia,AUS,Forest area (% of land area),17.42131456,17.42131456,17.42131456,17.42131456,..
Australia,AUS,Fossil fuel energy consumption (% of total),..,..,..,..,..
Australia,AUS,Gini index,34.3,..,..,..,..
Australia,AUS,Government Effectiveness: Estimate,1.556063771,1.538760424,1.57377553,1.473996282,1.528874636
Australia,AUS,"Hospital beds (per 1,000 people)",..,..,..,..,..
Australia,AUS,Human capital index (HCI) (scale 0-1),0.78083396,..,0.770239532,..,..
Australia,AUS,"Immunization, DPT (% of children ages 12-23 months)",95,95,95,95,94
Australia,AUS,"Immunization, HepB3 (% of one-year-old children)",95,95,95,95,94
Australia,AUS,"Immunization, measles (% of children ages 12-23 months)",94,94,93,93,96
Australia,AUS,Individuals using the Internet (% of population),90,93.6099,94.6935,94.9886,94.8762
Australia,AUS,"Inflation, consumer prices (annual %)",1.911400944,1.610767873,0.846905537,2.863910422,6.594096713
Australia,AUS,"Intentional homicides (per 100,000 people)",0.884735038,0.887322994,0.860925459,0.744567483,..
Australia,AUS,"Internally displaced persons, total displaced by conflict and violence (number of people)",..,..,..,..,..
Australia,AUS,Lending interest rate (%),5.260833333,5.101,..,..,..
Australia,AUS,"Life expectancy at birth, total (years)",82.74878049,82.9,83.2,83.3,83.2
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",..,..,..,..,..
Australia,AUS,Logistics performance index: Overall (1=low to 5=high),3.75,..,..,..,3.7
Australia,AUS,Losses due to theft and vandalism (% of annual sales for affected firms),..,..,..,..,..
Australia,AUS,"Maternal mortality ratio (national estimate, per 100,000 live births)",..,..,..,..,..
Australia,AUS,Mobile cellular subscriptions (per 100 people),110.6519296,110.29622,105.231579,104.5172138,107.0312028
Australia,AUS,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",..,1.9,..,..,..
Australia,AUS,Multidimensional poverty headcount ratio (World Bank) (% of population),2.2,..,..,..,..
Australia,AUS,Net migration,220307,235860,117929,117929,139991
Australia,AUS,Out-of-pocket expenditure (% of current health expenditure),16.24427223,14.73396778,14.91264343,13.82497215,..
Australia,AUS,"Persistence to last grade of primary, total (% of cohort)",..,..,..,..,..
Australia,AUS,"Physicians (per 1,000 people)",3.747,3.827,4.102,..,..
Australia,AUS,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",..,..,..,..,..
Australia,AUS,Political Stability and Absence of Violence/Terrorism: Estimate,0.970811963,0.917313099,0.861676931,0.835315883,0.933572054
Australia,AUS,Population living in slums (% of urban population),..,..,..,..,..
Australia,AUS,Pregnant women receiving prenatal care (%),..,..,..,..,..
Australia,AUS,Prevalence of moderate or severe food insecurity in the population (%),13.3,12.3,11.9,11.4,..
Australia,AUS,Prevalence of severe food insecurity in the population (%),3.8,3.3,3.6,3.4,..
Australia,AUS,Prevalence of undernourishment (% of population),2.5,2.5,2.5,2.5,..
Australia,AUS,"Primary completion rate, total (% of relevant age group)",..,..,..,..,..
Australia,AUS,Profit tax (% of commercial profits),26,26.1,..,..,..
Australia,AUS,Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),..,..,..,..,..
Australia,AUS,Proportion of seats held by women in national parliaments (%),28.66666667,30.46357616,30.46357616,31.12582781,38.41059603
Australia,AUS,"Pupil-teacher ratio, primary",..,..,..,..,..
Australia,AUS,Rail lines (total route-km),..,..,..,..,..
Australia,AUS,Refugee population by country or territory of asylum,56934,58529,57411,55606,54430
Australia,AUS,Regulatory Quality: Estimate,1.896577239,1.864646077,1.813946962,1.831182718,1.894893289
Australia,AUS,Risk of impoverishing expenditure for surgical care (% of people at risk),0.1,0,0.1,0.1,..
Australia,AUS,Rule of Law: Estimate,1.67455554,1.694471836,1.614245057,1.639288187,1.510085225
Australia,AUS,"Share of youth not in education, employment or training, total (% of youth population)",9.419,9.361,10.706,9.27,8.389
Australia,AUS,Statistical performance indicators (SPI): Overall score (scale 0-100),88.36416667,88.24166667,85.72791667,89.00458333,89.94625
Australia,AUS,"Suicide mortality rate (per 100,000 population)",12.4,12.5,..,..,..
Australia,AUS,"Survival to age 65, female (% of cohort)",93.234961,92.968392,94.398383,94.804253,93.468752
Australia,AUS,"Survival to age 65, male (% of cohort)",88.827328,88.147374,92.231287,92.926574,89.287141
Australia,AUS,Total greenhouse gas emissions (kt of CO2 equivalent),642275.8577,613604.7013,571903.1199,..,..
Australia,AUS,Total tax and contribution rate (% of profit),47.4,47.4,..,..,..
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",5.3,5.159,6.456,5.116,3.728
Australia,AUS,Voice and Accountability: Estimate,1.393920898,1.269635201,1.298030496,1.358394265,1.319480419
Australia,AUS,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)",..,..,..,..,..
Australia,AUS,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",..,..,..,..,..
Brazil,BRA,Access to electricity (% of population),99.7,99.8,99.7,99.5,100
Brazil,BRA,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),..,..,..,84.04,..
Brazil,BRA,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),41.80322317,42.33490294,41.90626721,..,..
Brazil,BRA,"Air transport, passengers carried",102109977,102917546,45405756,61896523,..
Brazil,BRA,Compensation of employees (current LCU),2.91E+11,3.05E+11,3.02E+11,3.10E+11,3.20E+11
Brazil,BRA,"Contraceptive prevalence, any method (% of married women ages 15-49)",..,..,..,..,..
Brazil,BRA,Control of Corruption: Estimate,-0.480606288,-0.40767929,-0.428935021,-0.498797685,-0.566063046
Brazil,BRA,Cost of business start-up procedures (% of GNI per capita),4.7,4.2,..,..,..
Brazil,BRA,"Current education expenditure, total (% of total expenditure in public institutions)",96.93305206,97.03069305,96.26844788,..,..
Brazil,BRA,Current health expenditure (% of GDP),9.46475029,9.61449146,10.18235016,9.89072323,..
Brazil,BRA,Forest area (% of land area),59.70842795,59.55852618,59.41747805,59.2705275,..
Brazil,BRA,Fossil fuel energy consumption (% of total),..,..,..,..,..
Brazil,BRA,Gini index,53.9,53.5,48.9,52.9,52
Brazil,BRA,Government Effectiveness: Estimate,-0.520446002,-0.233971298,-0.4653593,-0.492295623,-0.587532163
Brazil,BRA,"Hospital beds (per 1,000 people)",2.26,2.24,2.43,2.46,..
Brazil,BRA,Human capital index (HCI) (scale 0-1),0.545723736,..,0.551497936,..,..
Brazil,BRA,"Immunization, DPT (% of children ages 12-23 months)",87,70,77,68,77
Brazil,BRA,"Immunization, HepB3 (% of one-year-old children)",87,72,77,68,77
Brazil,BRA,"Immunization, measles (% of children ages 12-23 months)",92,91,79,73,81
Brazil,BRA,Individuals using the Internet (% of population),70.4343,73.9124,81.3427,80.6899,80.5278
Brazil,BRA,"Inflation, consumer prices (annual %)",3.664850284,3.732976212,3.211768038,8.301659756,9.28010609
Brazil,BRA,"Intentional homicides (per 100,000 people)",26.63601257,20.8104642,22.3840654,..,..
Brazil,BRA,"Internally displaced persons, total displaced by conflict and violence (number of people)",..,..,..,21000,5600
Brazil,BRA,Lending interest rate (%),39.08333333,37.475,29.04166667,30.01666667,39.4
Brazil,BRA,"Life expectancy at birth, total (years)",75.109,75.338,74.009,72.75,73.425
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",93.22750092,..,..,..,94.69000244
Brazil,BRA,Logistics performance index: Overall (1=low to 5=high),2.99,..,..,..,3.2
Brazil,BRA,Losses due to theft and vandalism (% of annual sales for affected firms),..,..,..,..,..
Brazil,BRA,"Maternal mortality ratio (national estimate, per 100,000 live births)",59,..,..,..,..
Brazil,BRA,Mobile cellular subscriptions (per 100 people),99.64002652,95.38505233,96.54706819,102.48887,98.89102076
Brazil,BRA,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",..,6.6,..,..,..
Brazil,BRA,Multidimensional poverty headcount ratio (World Bank) (% of population),6,6.1,..,..,4.1
Brazil,BRA,Net migration,67934,69186,56880,20376,6425
Brazil,BRA,Out-of-pocket expenditure (% of current health expenditure),24.82529449,24.87984657,22.77106476,22.65208626,..
Brazil,BRA,"Persistence to last grade of primary, total (% of cohort)",..,..,..,..,..
Brazil,BRA,"Physicians (per 1,000 people)",..,2.303,..,2.142,..
Brazil,BRA,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",..,..,..,..,..
Brazil,BRA,Political Stability and Absence of Violence/Terrorism: Estimate,-0.459640145,-0.714393616,-0.445607245,-0.41969654,-0.3314659
Brazil,BRA,Population living in slums (% of urban population),..,..,..,..,..
Brazil,BRA,Pregnant women receiving prenatal care (%),..,..,..,..,..
Brazil,BRA,Prevalence of moderate or severe food insecurity in the population (%),20.6,23.5,28.8,32.8,..
Brazil,BRA,Prevalence of severe food insecurity in the population (%),1.6,3.5,7.3,9.9,..
Brazil,BRA,Prevalence of undernourishment (% of population),2.5,2.5,3.7,4.7,..
Brazil,BRA,"Primary completion rate, total (% of relevant age group)",..,..,..,..,..
Brazil,BRA,Profit tax (% of commercial profits),22.4,22.4,..,..,..
Brazil,BRA,Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),..,..,..,..,..
Brazil,BRA,Proportion of seats held by women in national parliaments (%),15.00974659,15.00974659,14.61988304,15.20467836,17.73879142
Brazil,BRA,"Pupil-teacher ratio, primary",..,..,..,..,..
Brazil,BRA,Rail lines (total route-km),..,..,..,..,..
Brazil,BRA,Refugee population by country or territory of asylum,11304,32844,59092,61956,67522
Brazil,BRA,Regulatory Quality: Estimate,-0.293125451,-0.121404096,-0.111011527,-0.121613994,-0.220437631
Brazil,BRA,Risk of impoverishing expenditure for surgical care (% of people at risk),19,18.3,13.9,18.3,24.1
Brazil,BRA,Rule of Law: Estimate,-0.302387714,-0.224174306,-0.23170203,-0.300649881,-0.257250935
Brazil,BRA,"Share of youth not in education, employment or training, total (% of youth population)",24.605,23.986,25.992,23.377,20.975
Brazil,BRA,Statistical performance indicators (SPI): Overall score (scale 0-100),75.45,76.75375,78.3375,80.37958333,80.52458333
Brazil,BRA,"Suicide mortality rate (per 100,000 population)",7,6.9,..,..,..
Brazil,BRA,"Survival to age 65, female (% of cohort)",87.025483,87.320993,84.615778,81.414878,82.974848
Brazil,BRA,"Survival to age 65, male (% of cohort)",75.231526,75.710605,72.521676,69.33594,71.100394
Brazil,BRA,Total greenhouse gas emissions (kt of CO2 equivalent),1054181.831,1069918.901,1064709.126,..,..
Brazil,BRA,Total tax and contribution rate (% of profit),65.1,65.1,..,..,..
Brazil,BRA,"Unemployment, total (% of total labor force) (national estimate)",12.33,11.936,13.697,13.159,9.231
Brazil,BRA,Voice and Accountability: Estimate,0.37796551,0.302083343,0.288439423,0.255604923,0.214864358
Brazil,BRA,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)",..,..,..,..,..
Brazil,BRA,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",..,..,..,..,..
China,CHN,Access to electricity (% of population),100,100,100,100,100
China,CHN,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),..,..,..,88.71,..
China,CHN,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),..,..,..,..,..
China,CHN,"Air transport, passengers carried",611439830,659629070,417255845,440301216,..
China,CHN,Compensation of employees (current LCU),..,..,..,..,..
China,CHN,"Contraceptive prevalence, any method (% of married women ages 15-49)",..,..,..,..,..
China,CHN,Control of Corruption: Estimate,-0.286587775,-0.31240508,-0.070956685,0.030393474,0.015970249
China,CHN,Cost of business start-up procedures (% of GNI per capita),1.2,1.1,..,..,..
China,CHN,"Current education expenditure, total (% of total expenditure in public institutions)",..,..,..,..,..
China,CHN,Current health expenditure (% of GDP),5.16790485,5.3502779,5.59359741,5.38360548,..
China,CHN,Forest area (% of land area),23.03091218,23.23111754,23.4313229,23.63152827,..
China,CHN,Fossil fuel energy consumption (% of total),..,..,..,..,..
China,CHN,Gini index,38.5,38.2,37.1,35.7,..
China,CHN,Government Effectiveness: Estimate,0.496618092,0.544903398,0.644194782,0.809331775,0.495032012
China,CHN,"Hospital beds (per 1,000 people)",4.6,4.83,5,..,..
China,CHN,Human capital index (HCI) (scale 0-1),0.647098839,..,0.653102636,..,..
China,CHN,"Immunization, DPT (% of children ages 12-23 months)",99,99,99,99,99
China,CHN,"Immunization, HepB3 (% of one-year-old children)",99,99,99,99,99
China,CHN,"Immunization, measles (% of children ages 12-23 months)",99,99,99,99,99
China,CHN,Individuals using the Internet (% of population),59.2,64.0809,70.0528,73.0532,75.6113
China,CHN,"Inflation, consumer prices (annual %)",2.0747904,2.899234164,2.419421895,0.981015136,1.973575557
China,CHN,"Intentional homicides (per 100,000 people)",0.531025484,0.518966641,0.502270364,..,..
China,CHN,"Internally displaced persons, total displaced by conflict and violence (number of people)",..,..,..,..,..
China,CHN,Lending interest rate (%),4.35,4.35,4.35,4.35,4.35
China,CHN,"Life expectancy at birth, total (years)",77.744,77.968,78.077,78.211,78.587
China,CHN,"Literacy rate, adult total (% of people ages 15 and above)",..,..,96.73951721,..,..
China,CHN,Logistics performance index: Overall (1=low to 5=high),3.61,..,..,..,3.7
China,CHN,Losses due to theft and vandalism (% of annual sales for affected firms),..,..,..,..,..
China,CHN,"Maternal mortality ratio (national estimate, per 100,000 live births)",..,..,..,..,..
China,CHN,Mobile cellular subscriptions (per 100 people),116.3882038,122.8132903,120.5961882,121.5382526,124.8775379
China,CHN,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",..,2.2,..,..,..
China,CHN,Multidimensional poverty headcount ratio (World Bank) (% of population),..,..,..,..,..
China,CHN,Net migration,-296674,-302609,-33649,-200194,-311380
China,CHN,Out-of-pocket expenditure (% of current health expenditure),35.75065613,35.23002243,34.791008,34.39476395,..
China,CHN,"Persistence to last grade of primary, total (% of cohort)",..,96.84883881,96.78840637,..,..
China,CHN,"Physicians (per 1,000 people)",2.124,2.258,2.387,..,..
China,CHN,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",..,..,..,..,..
China,CHN,Political Stability and Absence of Violence/Terrorism: Estimate,-0.298641503,-0.259810865,-0.473098785,-0.516728878,-0.441073626
China,CHN,Population living in slums (% of urban population),..,..,..,..,..
China,CHN,Pregnant women receiving prenatal care (%),99.6,..,..,..,..
China,CHN,Prevalence of moderate or severe food insecurity in the population (%),..,..,..,..,..
China,CHN,Prevalence of severe food insecurity in the population (%),..,..,..,..,..
China,CHN,Prevalence of undernourishment (% of population),2.5,2.5,2.5,2.5,..
China,CHN,"Primary completion rate, total (% of relevant age group)",..,..,..,..,..
China,CHN,Profit tax (% of commercial profits),11.8,6.3,..,..,..
China,CHN,Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),0.87,..,..,..,..
China,CHN,Proportion of seats held by women in national parliaments (%),24.89932886,24.94117647,24.94117647,24.94117647,24.94117647
China,CHN,"Pupil-teacher ratio, primary",16.42675,..,..,..,..
China,CHN,Rail lines (total route-km),96353,102462,106235,109767,..
China,CHN,Refugee population by country or territory of asylum,321758,303379,303405,303436,320
China,CHN,Regulatory Quality: Estimate,-0.228585526,-0.304319978,-0.20264338,-0.332243532,-0.418417633
China,CHN,Risk of impoverishing expenditure for surgical care (% of people at risk),15.1,13.3,12.9,6.7,6.3
China,CHN,Rule of Law: Estimate,-0.186719537,-0.262363702,-0.102287054,0.010760916,-0.041443985
China,CHN,"Share of youth not in education, employment or training, total (% of youth population)",..,..,..,..,..
China,CHN,Statistical performance indicators (SPI): Overall score (scale 0-100),55.53625,58.21833333,57.8075,59.31875,59.59875
China,CHN,"Suicide mortality rate (per 100,000 population)",8.1,8.1,..,..,..
China,CHN,"Survival to age 65, female (% of cohort)",90.058264,90.228562,90.481335,90.671103,90.781947
China,CHN,"Survival to age 65, male (% of cohort)",81.393775,81.781895,81.903129,82.272771,82.805894
China,CHN,Total greenhouse gas emissions (kt of CO2 equivalent),12524335.16,12732245.13,12942868.34,..,..
China,CHN,Total tax and contribution rate (% of profit),64,59.2,..,..,..
China,CHN,"Unemployment, total (% of total labor force) (national estimate)",4.93,5.15,5.61,5.11,..
China,CHN,Voice and Accountability: Estimate,-1.459927917,-1.627334118,-1.658737779,-1.642867684,-1.609574914
China,CHN,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)",..,..,..,..,..
China,CHN,"Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)",..,..,..,..,..
France,FRA,Access to electricity (% of population),100,100,100,100,100
France,FRA,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),..,..,..,99.24,..
France,FRA,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),..,..,..,..,..
France,FRA,"Air transport, passengers carried",70188028,71289277,24956343,32000528,..
France,FRA,Compensation of employees (current LCU),1.35E+11,1.37E+11,1.39E+11,1.41E+11,1.46E+11
France,FRA,"Contraceptive prevalence, any method (% of married women ages 15-49)",..,..,..,..,..
France,FRA,Control of Corruption: Estimate,1.281640649,1.24832809,1.122349262,1.282284975,1.259529948
France,FRA,Cost of business start-up procedures (% of GNI per capita),0.7,0.7,..,..,..
France,FRA,"Current education expenditure, total (% of total expenditure in public institutions)",92.15415192,91.5382309,91.9781189,..,..
France,FRA,Current health expenditure (% of GDP),11.20798969,11.0888586,12.13096142,12.30787277,..
France,FRA,Forest area (% of land area),31.20442255,31.35673546,31.50904837,31.66136128,..
France,FRA,Fossil fuel energy consumption (% of total),..,..,..,..,..
France,FRA,Gini index,32.4,31.2,30.7,31.5,..
France,FRA,Government Effectiveness: Estimate,1.419796348,1.33828783,1.204635501,1.230613947,1.16580689
France,FRA,"Hospital beds (per 1,000 people)",6.16,6.1,6,..,..
France,FRA,Human capital index (HCI) (scale 0-1),0.755960286,..,0.762737215,..,..
France,FRA,"Immunization, DPT (% of children ages 12-23 months)",96,96,96,96,96
France,FRA,"Immunization, HepB3 (% of one-year-old children)",91,93,95,95,95
France,FRA,"Immunization, measles (% of children ages 12-23 months)",90,92,94,94,94
France,FRA,Individuals using the Internet (% of population),82.0432,83.3397,84.7064,86.0955,85.3333
France,FRA,"Inflation, consumer prices (annual %)",1.850815083,1.108254923,0.476498853,1.64233141,5.222367484
France,FRA,"Intentional homicides (per 100,000 people)",1.082799845,1.169259043,1.07320011,1.137429995,..
France,FRA,"Internally displaced persons, total displaced by conflict and violence (number of people)",..,..,..,..,..
France,FRA,Lending interest rate (%),..,..,..,..,..
France,FRA,"Life expectancy at birth, total (years)",82.67560976,82.82682927,82.17560976,82.32439024,82.22926829
France,FRA,"Literacy rate, adult total (% of people ages 15 and above)",..,..,..,..,..
France,FRA,Logistics performance index: Overall (1=low to 5=high),3.84,..,..,..,3.9
France,FRA,Losses due to theft and vandalism (% of annual sales for affected firms),..,..,..,1.1,..
France,FRA,"Maternal mortality ratio (national estimate, per 100,000 live births)",..,..,..,..,..
France,FRA,Mobile cellular subscriptions (per 100 people),109.5588076,111.8637727,112.8271405,116.6934991,118.8472962
France,FRA,"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",..,3.4,..,..,..
France,FRA,Multidimensional poverty headcount ratio (World Bank) (% of population),1.7,0.9,1.3,1.4,..
France,FRA,Net migration,14391,17403,18335,20614,66601
France,FRA,Out-of-pocket expenditure (% of current health expenditure),9.49986362,9.45291996,8.83838749,8.92467976,..
France,FRA,"Persistence to last grade of primary, total (% of cohort)",..,..,..,..,..
France,FRA,"Physicians (per 1,000 people)",3.276,3.311,3.324,..,..
France,FRA,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",..,..,..,..,..
France,FRA,Political Stability and Absence of Violence/Terrorism: Estimate,0.0137935,0.271274894,0.280948132,0.325523823,0.334524125
France,FRA,Population living in slums (% of urban population),..,..,..,..,..
France,FRA,Pregnant women receiving prenatal care (%),..,..,..,..,..
France,FRA,Prevalence of moderate or severe food insecurity in the population (%),6,5.8,5.9,6.6,..
France,FRA,Prevalence of severe food insecurity in the population (%),0.7,0.7,1,1.6,..
France,FRA,Prevalence of undernourishment (% of population),2.5,2.5,2.5,2.5,..
France,FRA,"Primary completion rate, total (% of relevant age group)",..,..,..,..,..
France,FRA,Profit tax (% of commercial profits),0.3,0.2,..,..,..
France,FRA,Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),..,..,..,..,..
