country,StandardOfLiving_QoLScoreNumbeo_2024MidYear,StandardOfLiving_QoLScoreUSNews_2023,StandardOfLiving_QoLScoreCEOWorld_2024,StandardOfLiving_HDIScoreUN_2022,StandardOfLiving_QoLScoreNumbeo_2023MidYear,StandardOfLiving_QoLRankUSNews_2022,StandardOfLiving_QoLScoreCEOWorld_2021,StandardOfLiving_HDIScoreUN_2021
Bolivia,,,63.34,0.698,,,,0.692
Tunisia,,9.2,64.05,0.732,,66,79.54,0.731
South Sudan,,,46.11,0.381,,,35.52,0.385
Haiti,,,57.72,0.552,,,46.91,0.535
Belgium,163.5,79.7,94.14,0.942,156.4,12,96.53,0.937
Jordan,120.7,8,65.52,0.736,116.3,68,71.15,0.72
Dominican Republic,,10.8,74.79,0.766,,53,,0.767
United Arab Emirates,177.5,41.2,92.39,0.937,173.8,24,83.79,0.911
Cuba,,,95.02,0.764,,,72.74,0.764
Honduras,,4.1,62.16,0.624,,,,0.621
Czech Republic,171.9,28.5,86.06,0.895,162.3,,,
Sweden,186.7,100,94.94,0.952,174.8,3,96.15,0.947
Tajikistan,,,51.59,0.679,,,41.6,0.685
Papua New Guinea,,,60.01,0.568,,,,0.558
Portugal,167.5,58,85.44,0.874,166.5,21,86.38,0.866
Azerbaijan,112.5,3.4,71.41,0.76,108.5,73,71.01,0.745
Greece,131.5,32.4,84.77,0.893,128.9,26,83.39,0.887
Hungary,139.7,24.3,82.59,0.851,131.6,30,83.26,0.846
Togo,,,50.56,0.547,,,40.95,0.539
Israel,157.6,17.8,93,0.915,147.2,36,84.43,0.919
Austria,190.8,78.9,95.41,0.926,183.3,11,88.52,0.916
Belarus,125,3.1,71.33,0.801,117,72,76.46,0.808
Switzerland,204,90.3,97.13,0.967,185.8,5,94.4,0.962
Sierra Leone,,,45.89,0.458,,,37.3,0.477
Laos,,,55.67,0.62,,,,0.607
Turkmenistan,,,78.03,0.744,,,70.55,0.745
Hong Kong,134.5,,92.41,0.956,105.5,,84.64,0.952
Libya,,,67.83,0.746,,,70.31,0.718
Kyrgyzstan,,,55.34,0.701,,,44.81,0.692
Paraguay,,,67.51,0.731,,,73.59,0.717
Nicaragua,,,60.77,0.669,,,,0.667
Bulgaria,139.6,18.3,80.09,0.799,131.4,42,79.46,0.795
Serbia,120.2,6.1,75.4,0.805,113.1,74,74.13,0.802
El Salvador,,5,66.79,0.674,,75,68.99,0.675
Republic of the Congo,,,61.54,0.593,,,,
Denmark,205.6,91.4,96.44,0.952,190.6,2,98.13,0.948
Singapore,162.3,50.3,96.81,0.949,153.2,16,87.64,0.939
Lebanon,86.5,2.1,62.2,0.723,82.4,77,76.77,0.706
Finland,199.9,90.6,94.48,0.942,188.1,8,99.06,0.94
Liberia,,,49,0.487,,,35.61,0.481
Norway,189,93.6,97.04,0.966,181.8,4,96.75,0.961
Slovakia,154.4,16.1,84.78,0.855,148.2,46,81.08,0.848
Palestine,,,62.54,0.716,,,,0.715
Central African Republic,,,47.23,0.387,,,35.13,0.404
Oman,204.3,8.9,82.68,0.819,184.8,70,76.32,0.816
Ireland,161.3,62.7,97.16,0.95,153.2,15,87.76,0.945
New Zealand,184.4,80,91.91,0.939,170.9,10,86.02,0.937
Mauritania,,,58.89,0.54,,,38.08,0.556
Costa Rica,,14.6,80.38,0.806,,,76.46,0.809
Kuwait,152.5,,86.54,0.847,129.7,,79.39,0.831
Panama,120.7,7,81.64,0.82,116.8,62,77.95,0.805
Croatia,172.1,24.9,81.98,0.878,161.6,37,80.11,0.858
Georgia,120.6,,73.4,0.814,116,,68.73,0.802
Eritrea,,,48.28,0.493,,,43.95,0.492
Mongolia,,,66.01,0.741,,,63.84,0.739
Uruguay,142.7,11,83.63,0.83,136.2,55,76.56,0.809
Puerto Rico,,,90.28,,,,,
Qatar,182.9,33.9,96.66,0.875,166.6,34,82.24,0.855
Moldova,,,,0.763,,,72.03,0.767
Namibia,,,65.4,0.61,,,62.25,0.615
Armenia,,,73.59,0.786,,,61.62,0.759
Lithuania,170.6,11.7,85.57,0.879,160.4,56,77.55,0.875
Jamaica,,,70.19,0.706,,,65.01,0.709
Albania,103.5,,73.06,0.789,,,68.96,0.796
Gambia,,,50.31,0.495,,,34.74,0.5
Gabon,,,73.64,0.693,,,68.06,0.706
Botswana,,,72.43,0.708,,,68.58,0.693
Lesotho,,,51.54,0.521,,,,0.514
Guinea-Bissau,,,50.83,0.483,,,,0.483
Slovenia,177.7,15.4,87.04,0.926,169.3,54,76.77,0.918
Equatorial Guinea,,,69.69,0.65,,,56.8,0.596
Latvia,159.4,10.1,85.39,0.879,152.6,50,80.68,0.863
North Macedonia,115.3,,72.18,0.765,109.4,,72.02,0.77
Bahrain,,11.2,85.53,0.888,,,76.76,0.875
Trinidad and Tobago,,,81.72,0.814,,,,0.81
Timor-Leste,,,53.7,0.566,,,,0.607
Estonia,183.5,17.5,86.22,0.899,176.4,48,82.87,0.89
Cyprus,154.8,13.4,89.62,0.907,146.5,,83.39,0.896
Mauritius,,,77.61,0.796,,,72.95,0.802
Eswatini,,,63.97,0.61,,,37.77,0.597
Djibouti,,,63.12,0.515,,,35.39,0.509
Fiji,,,68.46,0.729,,,,0.73
Comoros,,,52.2,0.586,,,33.14,0.558
Guyana,,,81.94,0.742,,,37.56,0.714
Solomon Islands,,,58.11,0.562,,,,0.564
Bhutan,,,63.09,0.681,,,80.78,0.666
Macau,,,94.37,,,,,
Luxembourg,219.3,62.1,97.56,0.927,200.1,,85.08,0.93
Montenegro,,,75.61,0.844,,,38.56,0.832
Suriname,,,66.95,0.69,,,36.65,0.73
Malta,,,90.8,0.915,121.8,,83.04,0.918
Maldives,,,81.34,0.762,,,67.65,0.747
Cape Verde,,,64.94,0.661,,,,
Brunei,,,89.01,0.823,,,,
Belize,,,70.66,0.7,,,34.78,0.683
Bahamas,,,88.24,0.82,,,,0.812
Iceland,199.7,,96.51,0.959,191.1,,84.96,0.959
Vanuatu,,,62.96,0.614,,,,0.607
Barbados,,,84.01,0.809,,,,0.79
French Polynesia,,,81.84,,,,,
Sao Tome and Principe,,,,0.613,,,,0.618
Samoa,,,65.03,0.702,,,,0.707
Saint Lucia,,,79.53,0.725,,,,0.715
Kiribati,,,57.04,0.628,,,,0.624
Seychelles,,,82.05,0.802,,,34.74,0.785
Grenada,,,77.32,0.793,,,,0.795
Micronesia,,,64.37,0.634,,,,0.628
Tonga,,,66.76,0.739,,,,0.745
Saint Vincent and the Grenadines,,,74.03,0.772,,,,0.751
Andorra,,,91.19,0.884,,,,0.858
Dominica,,,73.91,0.74,,,34.19,0.72
Greenland,,,95.21,,,,,
Saint Kitts and Nevis,,,81.55,0.838,,,,0.777
Liechtenstein,,,97.73,0.942,,,84.75,0.935
Monaco,,,98,,,,,
Marshall Islands,,,,0.731,,,,0.639
San Marino,,,95.9,0.867,,,,
Palau,,,79.98,0.797,,,,0.767
Nauru,,,77.76,0.696,,,,
Tuvalu,,,67.43,0.653,,,,
