Country Name,Country Code,Access to electricity (% of population),Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),"Air transport, passengers carried",Compensation of employees (current LCU),"Contraceptive prevalence, any method (% of married women ages 15-49)",Control of Corruption: Estimate,"Current education expenditure, total (% of total expenditure in public institutions)",Current health expenditure (% of GDP),Forest area (% of land area),Gini index,Government Effectiveness: Estimate,"Hospital beds (per 1,000 people)","Immunization, DPT (% of children ages 12-23 months)","Immunization, HepB3 (% of one-year-old children)","Immunization, measles (% of children ages 12-23 months)",Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Intentional homicides (per 100,000 people)","Internally displaced persons, total displaced by conflict and violence (number of people)",Lending interest rate (%),"Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)",Losses due to theft and vandalism (% of annual sales for affected firms),Mobile cellular subscriptions (per 100 people),Multidimensional poverty headcount ratio (World Bank) (% of population),Net migration,Out-of-pocket expenditure (% of current health expenditure),"Persistence to last grade of primary, total (% of cohort)","Physicians (per 1,000 people)",Political Stability and Absence of Violence/Terrorism: Estimate,Pregnant women receiving prenatal care (%),Prevalence of moderate or severe food insecurity in the population (%),Prevalence of severe food insecurity in the population (%),Prevalence of undernourishment (% of population),"Primary completion rate, total (% of relevant age group)",Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),Proportion of seats held by women in national parliaments (%),Rail lines (total route-km),Refugee population by country or territory of asylum,Regulatory Quality: Estimate,Risk of impoverishing expenditure for surgical care (% of people at risk),Rule of Law: Estimate,"Share of youth not in education, employment or training, total (% of youth population)",Statistical performance indicators (SPI): Overall score (scale 0-100),"Survival to age 65, female (% of cohort)","Survival to age 65, male (% of cohort)","Unemployment, total (% of total labor force) (national estimate)",Voice and Accountability: Estimate,"Women making their own informed decisions regarding sexual relations, contraceptive use and reproductive health care (% of women age 15-49)","Women participating in the three decisions (own health care, major household purchases, and visiting family) (% of women age 15-49)"
Austria,AUT,100.0,99.95,36.91614130753846,18901048.0,17675270000.0,,1.24299264,91.675718305,12.1,47.29447407,30.7,1.530020237,2.9,86.0,86.0,99.0,92.5292,2.766666667,0.728529507,491450.0,13.083975873333333,81.1902439,65.93705393266666,0.5,121.9694798,0.7,20314.0,15.78,99.43244934,5.459,0.899418652,,4.3,1.6,2.5,99.81651306,0.188,40.43715847,4962.0,152514.0,1.340415716,0.0,1.752518773,12.257,90.13083333,93.190064,86.806294,6.459,1.386760116,,
Azerbaijan,AZE,100.0,88.165,37.00504681692308,1102455.0,3586900000.0,,-0.847372115,90.44390106,4.7,13.83299093,30.114285714285714,0.213416561,2.79,89.0,89.0,93.0,86.0,6.650299127,1.910211896,655000.0,16.42596381,69.366,68.543509672,0.5105263157894737,104.8878056,0.7,1084.0,66.03,99.22992706,4.261749999999999,-0.837816358,,10.1,0.0,2.5,96.56355286,0.18066666666666667,18.18181818,2138.85,1676.0,-0.065053962,17.8,-0.606355965,11.126833333333334,73.34375,79.148777,59.929412,6.04,-1.52770555,,
"Bahamas, The",BHS,100.0,76.38,37.093952326307694,1065149.134,700830937.0,,1.152453542,92.03423881500001,7.13872051,50.93506494,29.52857142857143,0.419716477,2.68,86.0,86.0,82.0,93.7667,2.904912629,29.17342375,579000.0,4.25,71.598,71.14996541133334,0.5210526315789473,97.42269052,0.7,485.0,24.45867538,98.4263973225,3.0645,0.850836754,,17.2,3.4,5.4,104.40336864,0.17333333333333334,17.94871795,2805.88,10.0,0.061612576,35.6,0.070441306,9.996666666666666,53.48791667,78.767513,65.068436,5.612,0.904381931,,
Bahrain,BHR,100.0,64.595,37.18285783569231,1840268.0,298846415468.5,,0.144544184,93.62457657,4.26834059,0.911392405,28.942857142857143,0.683325052,3.24,98.0,98.0,99.0,100.0,-0.606319385,0.068340298,503000.0,5.7870833335,78.76,73.75642115066665,0.531578947368421,131.4487123,0.7,-9150.0,23.04768944,97.622867585,1.8672499999999999,-0.524779737,,24.15,7.199999999999999,8.3,112.24318442,0.16599999999999998,15.0,3472.91,256.0,0.836070001,53.400000000000006,0.441886842,8.8665,59.65333333,90.602161,88.530469,5.184,-1.49894762,,
Bangladesh,BGD,99.0,52.81,37.27176334507693,3750753.0,596992000000.0,,-0.985860944,95.214914325,2.36492991,14.46877161,28.357142857142858,-0.655627787,3.8000000000000003,98.0,98.0,97.0,38.9174,5.545654308,5.7240806939999995,427000.0,7.324166667,72.381,76.36287689,0.5421052631578948,108.9094426,0.7,-174500.0,72.9874649,96.8193378475,0.67,-1.036632776,,31.1,11.0,11.2,120.0830002,0.15866666666666668,20.85714286,4139.94,918907.0,-0.846353292,71.2,-0.625113249,7.7363333333333335,68.73291667,79.283337,72.618675,4.756,-0.77454257,,
Barbados,BRB,100.0,68.21000000000001,37.36066885446154,2395741.5,301778114300.0,,1.213400602,96.80525208,8.09043312,14.65116279,27.771428571428572,0.498197883,4.36,82.0,82.0,77.0,74.8596,7.502969102,11.37982109,342140.0,8.05,77.571,77.99573223230769,0.5526315789473685,112.6006401,0.7,-28.0,38.91783905,96.01580811,2.5323333333333333,1.118416667,,31.1,7.4,2.5,100.2442017,0.15133333333333332,20.0,4806.969999999999,460818.0,0.550468504,35.75,0.341037989,6.606166666666667,77.43,87.913897,81.948644,4.327999999999999,1.121885657,,
Belarus,BLR,100.0,83.61,37.44957436384615,1040730.0,6564228600.0,,-0.258149892,90.81482697,6.57,43.27223454,27.185714285714287,-0.804550171,4.92,98.0,98.0,98.0,86.8884,9.460283896,6.228173761,257280.0,10.1175,72.37068293,79.62858757461538,0.5631578947368421,122.7801287,0.7,12961.0,21.93,95.62319946,4.394666666666667,-0.754245222,,18.450000000000003,4.45,2.5,93.54051208,0.14400000000000002,40.0,5474.0,2729.0,-0.92898792,0.3,-1.121383548,5.476,86.12708333,86.649695,62.091409,3.9,-1.5807724,,
Belgium,BEL,100.0,99.01,37.53847987323077,5404284.479,10365700000.0,,1.455525041,91.638108575,11.04290771,22.76420079,26.6,1.087033391,5.48,98.0,97.0,96.0,92.7887,2.440248511,1.076526432,172420.0,9.2779166665,81.7902439,81.26144291692307,0.5736842105263158,101.1083743,0.7,52356.0,17.86028862,81.79140344999999,6.257,0.662566304,,5.8,1.5,2.5,103.23355104000001,0.13666666666666666,42.0,3612.0,74063.0,1.331859708,0.0,1.292380214,6.654,87.79791667,92.423721,87.271875,6.248,1.271479845,,
Belize,BLZ,97.7,73.81,37.62738538261539,670361.821,9212511361.5,,-0.330022901,92.46139018,4.98043823,55.49715037,30.5,-0.526224077,2.9650000000000003,83.0,83.0,79.0,65.0198,3.235636592,31.24757831,87560.0,8.438333333,70.47,82.89429825923077,0.5842105263157895,65.9948854,23.049999999999997,577.0,22.75517654,67.95960744,4.83275,0.272381902,,45.5,5.9,4.9,112.92659,0.12933333333333336,12.5,3222.5714285714284,86.0,-0.424278557,35.7,-0.8000862,7.38125,61.62666667,76.963548,62.177868,5.8870000000000005,0.542922258,,
Benin,BEN,42.0,48.61,37.716290892,454367.88066666666,8059322723.0,,-0.170943543,93.284671785,2.58129549,27.36032281,34.4,-0.237670884,0.45,76.0,76.0,68.0,30.7419,1.733539627,21.076776615,2700.0,6.25,59.821,84.52715360153846,0.5947368421052632,97.96018203,45.4,1732.0,48.63362122,54.12781143,3.4085,-0.396347791,,73.6,15.3,9.9,70.79102325,0.122,8.43373494,2833.142857142857,1736.0,-0.44798848,28.833333333333336,-0.629469573,8.1085,62.54125,60.019316,53.346483,5.526,-0.242977664,,
Bermuda,BMU,100.0,55.37,37.80519640138461,238373.94033333333,6906134084.5,,1.279871821,94.10795339,3.2133978599999997,18.51851852,36.56666666666666,1.471747875,1.3250000000000002,87.0,87.0,82.5,58.1894,4.540177016,10.90597492,25025.0,10.125,79.28,86.16000894384615,0.6052631578947368,105.9437563,31.766666666666666,291.0,33.715867045,68.52525075,1.9842500000000003,1.002396107,,58.55,12.25,13.066666666666666,80.69001007,0.11466666666666667,12.72750577,2443.714285714286,1529.3333333333333,0.946981251,21.96666666666667,0.635673702,8.83575,60.730833335,90.589703,80.585566,5.165,-0.011646554000000003,,
Bhutan,BTN,100.0,62.13,37.89410191076923,22380.0,5752945446.0,,1.507121086,94.931234995,3.84550023,71.50131096,38.733333333333334,0.701729655,2.2,98.0,98.0,97.0,85.6369,7.346814405,7.1997525505,47350.0,14.0,71.815,87.79286428615384,0.6157894736842106,100.0671395,18.133333333333333,291.0,18.79811287,82.92269007,0.56,0.797127724,,43.5,9.2,16.233333333333334,90.58899689,0.10733333333333334,17.0212766,2054.285714285714,1322.6666666666667,-0.405656159,15.1,0.604691029,9.563,58.92041667,81.115272,73.968716,4.804,0.219684556,,
Bolivia,BOL,98.6,68.89,37.98300742015385,4311879.56,4599756807.5,,-0.883186758,95.7545166,8.15972805,46.72830546,40.9,-0.762389004,1.35,70.0,70.0,75.0,65.9774,0.737383721,3.493530181,69675.0,8.01711817,63.63,89.42571962846154,0.6263157894736842,99.62307127,4.5,-4666.0,22.73787689,97.32012939,0.9555,-0.278813034,,28.449999999999996,6.15,19.4,89.70597458,0.1,46.15384615,1664.8571428571427,1116.0,-1.16856575,44.5,-1.176882386,10.976,70.80958333,66.245486,49.638002,5.089,-0.114208892,,
Bosnia and Herzegovina,BIH,100.0,79.34,38.07191292953846,2241948.28,3446568169.0,,-0.665344417,95.81245554913043,9.56,42.73261719,44.9,-1.073743939,1.7850000000000001,76.0,79.0,61.0,75.6762,3.9891806885,0.978311148,92000.0,3.201292795,75.3,91.05857497076923,0.6368421052631579,113.9969422,3.966666666666667,-25865.0,30.71,95.74474335,1.351,-0.421767116,,13.4,3.1,2.5,88.82295227,0.12959183673469388,26.19047619,1275.4285714285716,240.0,-0.19508715,3.1,-0.302860886,19.302,70.86,88.356949,79.435279,14.897,-0.316597819,,
Botswana,BWA,73.7,81.69,38.16081843892308,172017.0,29614820000.0,,0.665826142,95.87039449826088,6.30929565,26.70830907,48.9,0.323804677,2.22,95.0,95.0,97.0,75.2388,7.240977656,10.54696238,56500.0,5.25,61.141,92.69143031307692,0.6473684210526316,160.7369816,3.4333333333333336,1816.0,4.30253553,87.45891762,1.7465,1.041259646,,56.3,26.7,22.9,88.962524414,0.15918367346938775,10.76923077,886.0,688.0,0.600826502,38.1,0.454513997,35.168,61.37166667,58.194801,45.054326,23.106,0.451135844,,
Brazil,BRA,99.5,84.04,38.24972394830769,61896523.0,309990000000.0,,-0.498797685,95.92833344739131,9.89072323,59.2705275,52.9,-0.492295623,2.46,68.0,68.0,73.0,80.6899,8.301659756,8.2297167505,21000.0,30.01666667,72.75,94.32428565538461,0.6578947368421053,102.48887,2.9,20376.0,22.65208626,79.17309189,2.142,-0.41969654,,32.8,9.9,4.7,89.102096558,0.18877551020408162,15.20467836,1672.25,61956.0,-0.121613994,18.3,-0.300649881,23.377,80.37958333,81.414878,69.33594,13.159,0.255604923,,
British Virgin Islands,VGB,100.0,84.01666666666667,38.338629457692306,30962202.0,209837417000.0,,0.358780071,95.98627239652174,6.04779494,24.13333333,48.266666666666666,0.45724821099999996,3.165,83.5,83.5,86.0,88.1562,5.0175368205,5.912471121,410750.0,17.758333335,74.494,95.9571409976923,0.668421052631579,120.9465973,2.3666666666666667,128.0,14.699537040000001,70.88726616,2.0275,0.3759775904999999,,27.133333333333333,7.7666666666666675,3.966666666666667,89.241668702,0.21836734693877552,12.147793725500001,2458.5,48914.0,0.43276061849999997,34.75,0.28027915950000004,21.028,72.217291665,87.057838,77.273904,9.032,-0.2966071665,,
Brunei Darussalam,BRN,100.0,83.99333333333334,38.42753496707692,27881.0,109684834000.0,,1.216357827,96.04421134565217,2.20486665,72.10626186,43.63333333333333,1.406792045,3.87,99.0,99.0,99.0,95.6225,1.733413885,3.595225491500001,800500.0,5.5,74.642,97.58999634,0.6789473684210526,135.501254,1.8333333333333335,-192.0,6.74698782,62.60144043,1.913,1.171651721,,21.46666666666667,5.633333333333334,3.2333333333333334,89.381240846,0.2479591836734694,9.090909091,3244.75,35872.0,0.987135231,51.2,0.8612082,18.679,64.055,84.598772,77.456628,4.905,-0.848819256,,
Bulgaria,BGR,99.8,83.97,38.51644047646154,41126.0,9532251000.0,,-0.257637173,96.10215029478262,8.56,35.98010317,39.0,-0.172955215,3.711666666666667,89.0,89.0,89.0,75.2714,3.297744353,1.277979862,1190250.0,4.116183333,71.46341463,98.41999817,0.6894736842105263,114.7677533,1.3,-8716.0,35.07,54.3156147,1.2970000000000002,0.364647597,,15.8,3.5,2.5,89.52081299,0.27755102040816326,23.75,4031.0,22830.0,0.433977693,67.64999999999999,-0.068356052,13.767,83.97625,82.310032,65.379498,5.267,0.284617066,,
Burkina Faso,BFA,19.0,36.11,38.60534598584616,112940.0,942622000000.0,35.2,-0.083034024,96.16008924391305,6.37691164,22.5380117,37.4,-0.763961494,3.5533333333333332,91.0,91.0,88.0,18.114,3.653532872,1.4091931306666667,1580000.0,6.25,59.27,97.3068733225,0.7000000000000001,111.6631328,53.0,-13097.0,34.64732361,46.02978897,0.681,-1.642869711,,56.9,21.2,16.2,63.84238052,0.30714285714285716,6.299212598,518.0,25010.0,-0.48016727,84.1,-0.464600652,11.87225,65.42958333,59.906184,50.69926,4.049250000000001,-0.118603125,,15.9
Burundi,BDI,10.2,35.20333333333333,38.69425149523077,94647.034,480991000000.0,35.73389830508475,-1.599391341,96.21802819304348,9.10190964,10.8894081,38.6,-1.357401729,3.395,94.0,94.0,90.0,10.1846,8.404538451,1.5404063993333332,19000.0,12.85833333,61.663,96.193748475,0.7105263157894737,61.67128229,50.0,-14415.0,25.36169243,51.12455654,0.065,-1.258357525,,46.95,13.75,17.2,49.04700089,0.336734693877551,38.21138211,609.5,81491.0,-1.0019871,100.0,-1.312593341,9.9775,47.5375,62.255377,53.964584,2.8315,-1.402987719,,16.81764705882353
Cabo Verde,CPV,95.5,34.29666666666667,38.78315700461538,76354.068,4098035500000.0,36.2677966101695,1.016948581,96.27596714217391,6.90378904,11.41935484,39.8,-0.001368927,3.236666666666667,93.0,94.0,95.0,71.3752,1.862152975,1.671619668,315666.6666666667,7.619285668,74.052,95.0806236275,0.7210526315789474,100.3820215,47.0,-1274.0,18.51521492,56.21932411,0.08466666666666667,0.894233108,,37.0,6.3,18.2,87.52124023,0.36632653061224485,38.88888889,701.0,40757.5,0.268863976,21.7,0.331181914,8.08275,66.55166667,87.154545,69.713767,1.61375,0.928584516,,17.735294117647058
Cambodia,KHM,82.5,33.39,38.872062514,50217.459,7715080000000.0,36.80169491525424,-1.197489381,96.33390609130436,7.53223085,44.82596873,41.0,-0.478109896,3.078333333333333,87.0,87.0,83.0,55.6004,2.920734776,1.8028329366666664,612333.3333333334,7.256031704888889,69.584,93.96749878,0.7315789473684211,119.9575768,44.0,-24262.0,54.93772888,61.314091680000004,0.10433333333333333,-0.131573156,,51.1,14.8,4.8,94.65799713,0.39591836734693875,21.6,792.5,24.0,-0.686099589,36.15,-0.919126272,6.188,63.56166667,77.663923,66.926736,0.396,-1.433532953,,18.652941176470588
Cameroon,CMR,65.4,51.65,38.960968023384616,177992.0,1075000000000.0,37.335593220338986,-1.117182374,96.39184504043479,3.82407379,42.91104483,42.2,-0.90432471,2.92,69.0,69.0,62.0,42.5456,2.271857625,1.9340462053333332,909000.0,6.892777741777778,60.333,92.8543739325,0.7421052631578948,79.9676844,41.0,-9889.0,66.91696167,66.40885925,0.124,-1.394035697,,58.5,26.7,6.4,68.73432159,0.42551020408163265,33.88888889,884.0,457269.0,-0.934422612,50.6,-1.117601871,23.223,52.86041667,57.69876,50.293579,3.275,-1.161666274,,19.570588235294117
Canada,CAN,100.0,99.63,39.04987353276923,24951000.0,51668000000.0,37.86949152542373,1.616529822,96.44978398956522,12.3341074,39.47012793,42.46666666666667,1.563524604,2.7616666666666667,92.0,84.0,90.0,93.2917,3.395193185,2.065259474,836666.6666666666,6.5295237786666664,81.58707317,91.74124908499999,0.7526315789473684,88.09065504,36.8375,195181.0,14.02343464,69.52417087250001,2.464,0.962195992,,7.7,1.2,2.5,85.116481795,0.45510204081632655,30.47337278,48149.90622,130125.0,1.613764048,0.0,1.593748927,12.815,93.42083333,92.558089,88.46397,7.527,1.445782304,,20.488235294117647
Cayman Islands,CYM,100.0,97.116,39.13877904215385,22021375.2,66437569805.0,38.40338983050848,0.468788922,96.50772293869565,10.70132017,52.75,42.733333333333334,1.239643097,2.6033333333333335,67.0,63.0,65.5,51.93716982,3.82727868,2.3786153141999997,764333.3333333334,6.166269815555555,82.0097561,90.6281242375,0.7631578947368421,146.7652929,32.675,276.0,31.49551058,72.63948249500001,1.662,1.624580383,,44.5,31.499999999999996,25.6,101.498642,0.48469387755102034,21.66525782,38999.124976,57.0,1.052494287,27.366666666666664,0.741474807,13.318999999999999,79.00680555333332,84.795344,77.041676,7.877800000000001,0.759853065,,21.405882352941177
Central African Republic,CAF,15.7,94.602,39.22768455153846,19091750.4,81207139610.0,38.93728813559322,-1.24628365,96.5656618878261,9.06853294,35.7523516,43.0,-1.672059417,2.445,42.0,42.0,41.0,10.58263964,4.259364175,2.6919711544,692000.0,5.803015852444444,53.895,89.51499939,0.7736842105263158,33.55228751,28.512500000000003,-85860.0,48.96758652,75.7547941175,0.8599999999999999,-2.12673974,,81.3,61.8,48.7,72.514135375,0.5142857142857142,12.85714286,29848.343731999998,9305.0,-1.509714484,54.73333333333333,-1.688932657,13.823,64.59277777666667,46.205341,36.412734,8.2286,-1.194455147,,22.323529411764707
Chad,TCD,11.3,92.088,39.316590060923076,16162125.600000001,3940638093073.3335,39.47118644067797,-1.495754361,96.62360083695653,5.19022274,3.336509927,41.175,-1.460755944,2.2866666666666666,58.0,58.0,55.0,11.0057,-0.77284437,3.0053269946,397000.0,5.439761889333333,52.525,88.4018745425,0.7842105263157895,60.22303015,24.35,9016.0,58.78679276,78.87010574,0.058,-1.389812827,,60.233333333333334,42.56666666666666,31.4,43.52962875,0.5438775510204081,32.25806452,20697.562487999996,555782.0,-1.171825171,82.1,-1.341388702,14.327,50.17875,47.194982,39.793507,8.5794,-1.417878032,,23.241176470588236
Channel Islands,CHI,100.0,89.574,39.40549557030769,13232500.8,7800069046536.667,40.005084745762716,-0.26951050749999994,96.68153978608696,7.26675129,5.151515152,39.35,-0.43427580600000004,2.128333333333333,76.5,76.5,73.5,49.9051,1.8758620064999998,3.3186828347999997,1606500.0,5.076507926222222,81.232,87.288749695,0.7947368421052632,98.268217975,20.1875,1242.0,44.526515965,81.9854173625,1.5155,-0.6142303345000001,,39.166666666666664,23.333333333333336,16.95,71.37385368,0.573469387755102,33.870967745,11546.781243999998,278923.5,-0.1177924575,48.199999999999996,-0.22501885849999992,14.831,67.89375,93.001784,88.850192,8.930200000000001,-0.22984179849999986,,24.158823529411762
Chile,CHL,100.0,87.06,39.49440107969231,10302876.0,11659500000000.0,40.53898305084746,0.956733346,96.73947873521739,9.34327984,24.65747271,37.525000000000006,0.592204332,1.97,95.0,95.0,92.0,88.8045,4.524568383,3.632038675,2816000.0,4.713253963111111,78.944,86.1756248475,0.8052631578947369,136.3134058,16.025000000000002,113709.0,30.26623917,85.10072898499999,2.973,0.161352158,,18.1,4.1,2.5,99.21807861,0.6030612244897958,35.48387097,2396.0,2065.0,0.936240256,14.3,0.891350985,15.335,85.60875,88.957827,81.17719,9.281,0.958194435,,25.076470588235296
China,CHN,100.0,88.71,39.583306589076926,440301216.0,25145300000000.0,41.0728813559322,0.030393474,96.79741768434783,5.38360548,23.63152827,35.7,0.809331775,1.8383333333333334,99.0,99.0,99.0,73.0532,0.981015136,15.5582019025,4025500.0,4.35,78.211,85.0625,0.8157894736842106,121.5382526,11.862500000000004,-200194.0,34.39476395,88.21604060749999,2.6675,-0.516728878,,38.63333333333334,11.866666666666665,2.5,99.20627594000001,0.6326530612244897,24.94117647,109767.0,303436.0,-0.332243532,6.7,0.010760916,21.299500000000002,59.31875,90.671103,82.272771,5.11,-1.642867684,,25.99411764705882
